Date,Price,Open,High,Low,Vol.,Change %
"Mar 13, 2018",182.74,182.74,182.74,182.74,0,0.82
"Mar 12, 2018",181.25,181.25,181.25,181.25,0,0.36
"Mar 09, 2018",180.6,180.6,180.6,180.6,0,-0.37
"Mar 08, 2018",181.27,181.27,181.27,181.27,0,-0.49
"Mar 07, 2018",182.16,182.16,182.16,182.16,0,0.63
"Mar 06, 2018",181.02,181.02,181.02,181.02,0,0.06
"Mar 05, 2018",180.91,180.91,180.91,180.91,0,-0.19
"Mar 02, 2018",181.26,181.26,181.26,181.26,0,-0.4
"Mar 01, 2018",181.99,181.99,181.99,181.99,0,0.12
"Feb 28, 2018",181.77,181.77,181.77,181.77,0,0.6
"Feb 27, 2018",180.68,180.68,180.68,180.68,0,0.02
"Feb 26, 2018",180.64,180.64,180.64,180.64,0,-0.08
"Feb 23, 2018",180.78,180.78,180.78,180.78,0,0.02
"Feb 22, 2018",180.75,180.75,180.75,180.75,0,-0.53
"Feb 21, 2018",181.71,181.71,181.71,181.71,0,-0.02
"Feb 20, 2018",181.74,181.74,181.74,181.74,0,0.85
"Feb 19, 2018",180.21,180.21,180.21,180.21,0,-0.02
"Feb 16, 2018",180.25,180.25,180.25,180.25,0,0.89
"Feb 15, 2018",178.66,178.66,178.66,178.66,0,-0.17
"Feb 14, 2018",178.96,178.96,178.96,178.96,0,0.34
"Feb 13, 2018",178.35,178.35,178.35,178.35,0,0.32
"Feb 12, 2018",177.78,177.78,177.78,177.78,0,-1.21
"Feb 09, 2018",179.96,179.96,179.96,179.96,0,-0.24
"Feb 08, 2018",180.39,180.39,180.39,180.39,0,1.28
"Feb 07, 2018",178.11,178.11,178.11,178.11,0,-1.8
"Feb 06, 2018",181.38,181.38,181.38,181.38,0,-0.29
"Feb 05, 2018",181.91,181.91,181.91,181.91,0,0.12
"Feb 02, 2018",181.69,181.69,181.69,181.69,0,0.07
"Feb 01, 2018",181.57,181.57,181.57,181.57,0,0.54
"Jan 31, 2018",180.6,180.6,180.6,180.6,0,-0.24
"Jan 30, 2018",181.04,181.04,181.04,181.04,0,-0.07
"Jan 29, 2018",181.16,181.16,181.16,181.16,0,-0.29
